group_type,state,episode_id,account_id,start_date,end_date,duration_trading_sessions,total_return,max_drawdown,longest_completed_underwater_state_days,right_censored_underwater,terminal_underwater_state_days
TREND,SIDEWAYS,66,HD-ANCHOR-001,2024-01-12,2024-01-12,1,0.007246523380867842,0.0,0,False,0
TREND,SIDEWAYS,68,HD-ANCHOR-001,2024-01-17,2024-01-24,6,0.006164085100410777,-0.006575024107104532,5,False,0
TREND,SIDEWAYS,70,HD-ANCHOR-001,2024-03-28,2024-03-28,1,0.00033838412658515615,0.0,0,False,0
TREND,SIDEWAYS,72,HD-ANCHOR-001,2024-04-02,2024-04-08,3,0.010677164903034164,-0.0049148854315553825,2,False,0
TREND,SIDEWAYS,74,HD-ANCHOR-001,2024-10-28,2024-10-30,3,0.002473649449241888,0.0,0,False,0
TREND,SIDEWAYS,76,HD-ANCHOR-001,2024-11-01,2024-11-01,1,0.005816965966531695,0.0,0,False,0
TREND,SIDEWAYS,78,HD-ANCHOR-001,2024-11-13,2024-11-13,1,0.006162480850457452,0.0,0,False,0
TREND,SIDEWAYS,80,HD-ANCHOR-001,2024-11-18,2024-11-18,1,0.004686284723722123,0.0,0,False,0
TREND,SIDEWAYS,82,HD-ANCHOR-001,2024-11-25,2025-05-16,114,0.04456173677981168,-0.03535491617152031,80,True,1
TREND,SIDEWAYS,84,HD-ANCHOR-001,2025-06-04,2025-06-04,1,-0.0036341084560531645,-0.0036341084560531645,0,True,1
TREND,SIDEWAYS,86,HD-ANCHOR-001,2025-06-17,2025-09-09,61,-0.024148705221408107,-0.03866235924813899,3,True,53
TREND,SIDEWAYS,2,HD-BASE-000,2022-03-16,2022-03-16,1,0.02104722792607805,0.0,0,False,0
TREND,SIDEWAYS,4,HD-BASE-000,2022-03-21,2022-03-22,2,0.004401557474183138,-0.0022007787370914578,1,False,0
TREND,SIDEWAYS,6,HD-BASE-000,2022-03-31,2022-04-01,2,0.005406318634904261,0.0,0,False,0
TREND,SIDEWAYS,8,HD-BASE-000,2022-04-20,2022-04-21,2,0.005787037037036757,0.0,0,False,0
TREND,SIDEWAYS,10,HD-BASE-000,2022-04-25,2022-05-13,12,-0.007543456871104914,-0.02263037061331552,0,True,12
TREND,SIDEWAYS,12,HD-BASE-000,2022-05-17,2022-05-19,3,0.004810882548108797,-0.0036490296898323837,1,False,0
TREND,SIDEWAYS,14,HD-BASE-000,2022-05-23,2022-05-26,4,0.008252186829510011,-0.006766793200197907,3,False,0
TREND,SIDEWAYS,16,HD-BASE-000,2022-06-27,2022-07-01,5,0.01566106165512715,-0.004286185295087397,4,False,0
TREND,SIDEWAYS,18,HD-BASE-000,2022-07-06,2022-07-11,4,0.0073135056070210425,-0.0029254022428083504,3,False,0
TREND,SIDEWAYS,20,HD-BASE-000,2022-07-15,2022-07-18,2,0.0014481094127114513,-0.00901045856798055,1,False,0
TREND,SIDEWAYS,22,HD-BASE-000,2022-07-28,2022-08-05,7,0.0025795925211167248,-0.007738777563348953,6,False,0
TREND,SIDEWAYS,24,HD-BASE-000,2022-08-12,2022-09-16,25,-0.008694910096239239,-0.017165233824173343,0,True,24
TREND,SIDEWAYS,26,HD-BASE-000,2022-09-20,2022-09-20,1,-0.0009742584675238586,-0.0009742584675238586,0,True,1
TREND,SIDEWAYS,28,HD-BASE-000,2022-09-26,2022-10-10,6,0.0004883186051016786,-0.01513787675815037,5,False,0
TREND,SIDEWAYS,30,HD-BASE-000,2022-10-13,2022-10-31,12,-0.04811197205265205,-0.04811197205265205,0,True,12
TREND,SIDEWAYS,32,HD-BASE-000,2022-11-03,2022-11-03,1,-0.008195979530541075,-0.008195979530541075,0,True,1
TREND,SIDEWAYS,34,HD-BASE-000,2022-11-07,2022-12-08,24,0.013048263121659742,-0.015188107211346558,3,True,9
TREND,SIDEWAYS,36,HD-BASE-000,2022-12-12,2022-12-12,1,-0.0040660530314966525,-0.0040660530314966525,0,True,1
TREND,SIDEWAYS,38,HD-BASE-000,2022-12-14,2022-12-14,1,0.0001702263840681617,0.0,0,False,0
TREND,SIDEWAYS,40,HD-BASE-000,2022-12-16,2022-12-16,1,0.005799543882931024,0.0,0,False,0
TREND,SIDEWAYS,42,HD-BASE-000,2022-12-21,2022-12-21,1,0.0013678650874664466,0.0,0,False,0
TREND,SIDEWAYS,44,HD-BASE-000,2022-12-23,2023-01-05,9,0.007012706682425485,-0.0038913599964806034,1,True,3
TREND,SIDEWAYS,46,HD-BASE-000,2023-02-15,2023-02-15,1,-0.001856060797802428,-0.001856060797802428,0,True,1
TREND,SIDEWAYS,48,HD-BASE-000,2023-03-02,2023-03-08,5,-0.0048858315938085095,-0.006225256707713789,1,True,3
TREND,SIDEWAYS,50,HD-BASE-000,2023-03-31,2023-05-09,24,0.025790008647237794,-0.007582588398969414,10,False,0
TREND,SIDEWAYS,52,HD-BASE-000,2023-05-25,2023-08-22,62,0.003676609813403564,-0.014591288181219797,48,True,3
TREND,SIDEWAYS,54,HD-BASE-000,2023-08-24,2023-09-12,14,0.0019701651326740066,-0.008017199346843862,1,True,12
TREND,SIDEWAYS,56,HD-BASE-000,2023-09-19,2023-09-19,1,0.0019553973856336615,0.0,0,False,0
TREND,SIDEWAYS,58,HD-BASE-000,2023-10-23,2023-10-24,2,0.004077731346010305,-0.0009786555230424376,1,False,0
TREND,SIDEWAYS,60,HD-BASE-000,2023-10-26,2023-10-30,3,0.008871569249169209,-0.0014684623241517647,1,False,0
TREND,SIDEWAYS,62,HD-BASE-000,2023-11-07,2023-12-25,35,0.01895468196984873,-0.005340791019702307,9,False,0
TREND,SIDEWAYS,64,HD-BASE-000,2023-12-28,2024-01-02,3,0.002400437839862102,-0.004000729733103281,2,False,0
TREND,SIDEWAYS,66,HD-BASE-000,2024-01-12,2024-01-12,1,0.005632569771446327,0.0,0,False,0
TREND,SIDEWAYS,68,HD-BASE-000,2024-01-17,2024-01-24,6,0.004799339610869202,-0.005119295584927519,5,False,0
TREND,SIDEWAYS,70,HD-BASE-000,2024-03-28,2024-03-28,1,0.0003135356474353035,0.0,0,False,0
TREND,SIDEWAYS,72,HD-BASE-000,2024-04-02,2024-04-08,3,0.009891880179498491,-0.004553405161991209,2,False,0
TREND,SIDEWAYS,74,HD-BASE-000,2024-10-28,2024-10-30,3,0.002525305041994219,0.0,0,False,0
TREND,SIDEWAYS,76,HD-BASE-000,2024-11-01,2024-11-01,1,0.005938365702375048,0.0,0,False,0
TREND,SIDEWAYS,78,HD-BASE-000,2024-11-13,2024-11-13,1,0.006292266804097668,0.0,0,False,0
TREND,SIDEWAYS,80,HD-BASE-000,2024-11-18,2024-11-18,1,0.004784789155275249,0.0,0,False,0
TREND,SIDEWAYS,82,HD-BASE-000,2024-11-25,2025-05-16,114,0.045496176829468604,-0.03606912626493286,80,True,1
