group_type,state,account_id,classified_sessions,performance_sessions,share_of_classified_sessions,episodes,median_episode_sessions,maximum_episode_sessions,compounded_return_on_state_days,annualized_equivalent_return,annualized_volatility,descriptive_sharpe_zero_hurdle,mean_shares,mean_equity_weight,worst_full_path_drawdown_observed,worst_within_episode_drawdown,worst_completed_underwater_state_days,right_censored_underwater_episodes,p00_filled_parent_orders_on_state_days,p00_buy_orders_on_state_days,p00_sell_orders_on_state_days
VOLATILITY,NORMAL_VOL,HD-BASE-RM-001,831,830,0.9764982373678026,2,415.5,826,0.1138473585391242,0.03327745397440873,0.06101058354136757,0.5670533600862114,900.0,0.35355912260059097,-0.0616563617041831,-0.06165636170418143,348,2,9,5,4
COMBINED,DOWN|NORMAL_VOL,HD-ANCHOR-001,58,58,0.0681551116333725,10,1.5,23,0.010191513644097316,0.04504113585422953,0.07298649531263346,0.6394539590308174,1298.2758620689656,0.46183827547506906,-0.0783757951866008,-0.022655694023938633,9,6,1,1,0
COMBINED,DOWN|NORMAL_VOL,HD-BASE-000,58,58,0.0681551116333725,10,1.5,23,0.008134885217091714,0.03582860007257982,0.055836325952946124,0.657875672895394,1000.0,0.35382093833622974,-0.0656833493743984,-0.017364828298937707,9,6,1,1,0
COMBINED,DOWN|NORMAL_VOL,HD-BASE-001,58,58,0.0681551116333725,10,1.5,23,0.012306557815763952,0.054580999896079785,0.08462863886679145,0.669498815639728,1500.0,0.5353972115996422,-0.096709966934341,-0.026198452002146322,9,6,1,1,0
COMBINED,DOWN|NORMAL_VOL,HD-BASE-RM-001,58,58,0.0681551116333725,10,1.5,23,0.007309039796421279,0.0321469241907526,0.05014920459197556,0.6555798407623152,900.0,0.317885294654681,-0.0593377451453965,-0.01561032585165889,9,6,1,1,0
COMBINED,SIDEWAYS|HIGH_VOL,HD-ANCHOR-001,4,4,0.004700352526439483,2,2.0,2,0.00983167233128257,0.8521929621991202,0.05880012110991691,10.517302819395923,1000.0,0.3708110959106203,-0.0176666666666666,-0.0022007787370914578,1,0,0,0,0
COMBINED,SIDEWAYS|HIGH_VOL,HD-BASE-000,4,4,0.004700352526439483,2,2.0,2,0.00983167233128257,0.8521929621991202,0.05880012110991691,10.517302819395923,1000.0,0.3708110959106203,-0.0176666666666666,-0.0022007787370914578,1,0,0,0,0
COMBINED,SIDEWAYS|HIGH_VOL,HD-BASE-001,4,4,0.004700352526439483,2,2.0,2,0.014874408721843757,1.5349826277862424,0.08895115494825875,10.509855483481266,1500.0,0.5596745555455869,-0.0265,-0.0033273611466597686,1,0,0,0,0
COMBINED,SIDEWAYS|HIGH_VOL,HD-BASE-RM-001,4,4,0.004700352526439483,2,2.0,2,0.008833430331460557,0.7403087870598688,0.052830929290497756,10.5187793328915,900.0,0.33331835957674455,-0.0159,-0.0019775873434410007,1,0,0,0,0
COMBINED,SIDEWAYS|NORMAL_VOL,HD-ANCHOR-001,465,465,0.5464159811985899,41,3.0,114,0.16261813433001127,0.08508230809128015,0.07452752656662366,1.1329157388928606,1155.268817204301,0.4404845529037626,-0.0816974733686847,-0.05762440930910906,80,15,2,2,0
COMBINED,SIDEWAYS|NORMAL_VOL,HD-BASE-000,465,465,0.5464159811985899,41,3.0,114,0.1409540081210241,0.0740775427377276,0.06599740360371718,1.1158137498436804,1000.0,0.38736299788507883,-0.0682499197946743,-0.04811197205265205,80,15,2,2,0
COMBINED,SIDEWAYS|NORMAL_VOL,HD-BASE-001,465,465,0.5464159811985899,41,3.0,114,0.21354870140785187,0.11058955511962498,0.0970757127223338,1.1290033830008572,1500.0,0.5646697622962863,-0.1004888993859234,-0.07140211979581412,80,15,2,2,0
COMBINED,SIDEWAYS|NORMAL_VOL,HD-BASE-RM-001,465,465,0.5464159811985899,41,3.0,114,0.1266095377834615,0.06673821935947122,0.05965163562411504,1.1128918051141214,900.0,0.35073394579776357,-0.0616563617041831,-0.043393860822894315,80,15,2,2,0
COMBINED,UP|HIGH_VOL,HD-ANCHOR-001,16,16,0.01880141010575793,3,6.0,8,0.007191638925295507,0.11947851238112817,0.07401514022739343,1.5598846101614887,1000.0,0.37483145054391914,-0.0233333333333333,-0.012304062025956464,3,2,0,0,0
COMBINED,UP|HIGH_VOL,HD-BASE-000,16,16,0.01880141010575793,3,6.0,8,0.007191638925295507,0.11947851238112817,0.07401514022739343,1.5598846101614887,1000.0,0.37483145054391914,-0.0233333333333333,-0.012304062025956464,3,2,0,0,0
COMBINED,UP|HIGH_VOL,HD-BASE-001,16,16,0.01880141010575793,3,6.0,8,0.010678874367632485,0.18210950900771428,0.1114815556906776,1.5534238751524119,1500.0,0.5638687955104674,-0.035,-0.018560894991100918,3,2,0,0,0
COMBINED,UP|HIGH_VOL,HD-BASE-RM-001,16,16,0.01880141010575793,3,6.0,8,0.006485393153126795,0.1071787822427761,0.06655940178001137,1.5611852347763056,900.0,0.33715703273907804,-0.021,-0.011061164705288062,3,2,0,0,0
COMBINED,UP|NORMAL_VOL,HD-ANCHOR-001,308,307,0.3619271445358402,31,3.0,133,-0.021673831948305744,-0.017825736097919265,0.07586900522841644,-0.19917539203180387,1100.974025974026,0.4338349666386575,-0.0563521703269962,-0.04846009733279755,18,26,6,2,4
COMBINED,UP|NORMAL_VOL,HD-BASE-000,308,307,0.3619271445358402,31,3.0,133,-0.02083175104236179,-0.017131851272003895,0.07147227194301263,-0.20607113938674568,1000.0,0.4017806068997558,-0.0574707774511215,-0.049422044491135964,18,26,6,2,4
COMBINED,UP|NORMAL_VOL,HD-BASE-001,308,307,0.3619271445358402,31,3.0,133,-0.03315706082357506,-0.02729878040433653,0.1031881485214609,-0.21661907404402886,1500.0,0.5796753508207644,-0.0800887863892354,-0.06887242072784416,18,26,6,2,4
COMBINED,UP|NORMAL_VOL,HD-BASE-RM-001,308,307,0.3619271445358402,31,3.0,133,-0.01850176210480814,-0.01521246904541873,0.06484563012945688,-0.2040107774206672,900.0,0.36454220452973873,-0.0525261146420093,-0.0451698774562731,18,26,6,2,4
