exchange,trade_date,is_open,previous_trade_date,source
SSE,19970801,1,19970731,sina_finance
SSE,19970804,1,19970801,sina_finance
SSE,19970805,1,19970804,sina_finance
SSE,19970806,1,19970805,sina_finance
SSE,19970807,1,19970806,sina_finance
SSE,19970808,1,19970807,sina_finance
SSE,19970811,1,19970808,sina_finance
SSE,19970812,1,19970811,sina_finance
SSE,19970813,1,19970812,sina_finance
SSE,19970814,1,19970813,sina_finance
SSE,19970815,1,19970814,sina_finance
SSE,19970818,1,19970815,sina_finance
SSE,19970819,1,19970818,sina_finance
SSE,19970820,1,19970819,sina_finance
SSE,19970821,1,19970820,sina_finance
SSE,19970822,1,19970821,sina_finance
SSE,19970825,1,19970822,sina_finance
SSE,19970826,1,19970825,sina_finance
SSE,19970827,1,19970826,sina_finance
SSE,19970828,1,19970827,sina_finance
SSE,19970829,1,19970828,sina_finance
SSE,19970901,1,19970829,sina_finance
SSE,19970902,1,19970901,sina_finance
SSE,19970903,1,19970902,sina_finance
SSE,19970904,1,19970903,sina_finance
SSE,19970905,1,19970904,sina_finance
SSE,19970908,1,19970905,sina_finance
SSE,19970909,1,19970908,sina_finance
SSE,19970910,1,19970909,sina_finance
SSE,19970911,1,19970910,sina_finance
SSE,19970912,1,19970911,sina_finance
SSE,19970915,1,19970912,sina_finance
SSE,19970916,1,19970915,sina_finance
SSE,19970917,1,19970916,sina_finance
SSE,19970918,1,19970917,sina_finance
SSE,19970919,1,19970918,sina_finance
SSE,19970922,1,19970919,sina_finance
SSE,19970923,1,19970922,sina_finance
SSE,19970924,1,19970923,sina_finance
SSE,19970925,1,19970924,sina_finance
SSE,19970926,1,19970925,sina_finance
SSE,19970929,1,19970926,sina_finance
SSE,19970930,1,19970929,sina_finance
SSE,19971006,1,19970930,sina_finance
SSE,19971007,1,19971006,sina_finance
SSE,19971008,1,19971007,sina_finance
SSE,19971009,1,19971008,sina_finance
SSE,19971010,1,19971009,sina_finance
SSE,19971013,1,19971010,sina_finance
SSE,19971014,1,19971013,sina_finance
SSE,19971015,1,19971014,sina_finance
SSE,19971016,1,19971015,sina_finance
SSE,19971017,1,19971016,sina_finance
SSE,19971020,1,19971017,sina_finance
SSE,19971021,1,19971020,sina_finance
SSE,19971022,1,19971021,sina_finance
SSE,19971023,1,19971022,sina_finance
SSE,19971024,1,19971023,sina_finance
SSE,19971027,1,19971024,sina_finance
SSE,19971028,1,19971027,sina_finance
SSE,19971029,1,19971028,sina_finance
SSE,19971030,1,19971029,sina_finance
SSE,19971031,1,19971030,sina_finance
SSE,19971103,1,19971031,sina_finance
SSE,19971104,1,19971103,sina_finance
SSE,19971105,1,19971104,sina_finance
SSE,19971106,1,19971105,sina_finance
SSE,19971107,1,19971106,sina_finance
SSE,19971110,1,19971107,sina_finance
SSE,19971111,1,19971110,sina_finance
SSE,19971112,1,19971111,sina_finance
SSE,19971113,1,19971112,sina_finance
SSE,19971114,1,19971113,sina_finance
SSE,19971117,1,19971114,sina_finance
SSE,19971118,1,19971117,sina_finance
SSE,19971119,1,19971118,sina_finance
SSE,19971120,1,19971119,sina_finance
SSE,19971121,1,19971120,sina_finance
SSE,19971124,1,19971121,sina_finance
SSE,19971125,1,19971124,sina_finance
SSE,19971126,1,19971125,sina_finance
SSE,19971127,1,19971126,sina_finance
SSE,19971128,1,19971127,sina_finance
SSE,19971201,1,19971128,sina_finance
SSE,19971202,1,19971201,sina_finance
SSE,19971203,1,19971202,sina_finance
SSE,19971204,1,19971203,sina_finance
SSE,19971205,1,19971204,sina_finance
SSE,19971208,1,19971205,sina_finance
SSE,19971209,1,19971208,sina_finance
SSE,19971210,1,19971209,sina_finance
SSE,19971211,1,19971210,sina_finance
SSE,19971212,1,19971211,sina_finance
SSE,19971215,1,19971212,sina_finance
SSE,19971216,1,19971215,sina_finance
SSE,19971217,1,19971216,sina_finance
SSE,19971218,1,19971217,sina_finance
SSE,19971219,1,19971218,sina_finance
SSE,19971222,1,19971219,sina_finance
SSE,19971223,1,19971222,sina_finance
SSE,19971224,1,19971223,sina_finance
SSE,19971225,1,19971224,sina_finance
SSE,19971226,1,19971225,sina_finance
SSE,19971229,1,19971226,sina_finance
SSE,19971230,1,19971229,sina_finance
SSE,19971231,1,19971230,sina_finance
SSE,19980105,1,19971231,sina_finance
SSE,19980106,1,19980105,sina_finance
SSE,19980107,1,19980106,sina_finance
SSE,19980108,1,19980107,sina_finance
SSE,19980109,1,19980108,sina_finance
SSE,19980112,1,19980109,sina_finance
SSE,19980113,1,19980112,sina_finance
SSE,19980114,1,19980113,sina_finance
SSE,19980115,1,19980114,sina_finance
SSE,19980116,1,19980115,sina_finance
SSE,19980119,1,19980116,sina_finance
SSE,19980120,1,19980119,sina_finance
SSE,19980121,1,19980120,sina_finance
SSE,19980122,1,19980121,sina_finance
SSE,19980123,1,19980122,sina_finance
SSE,19980209,1,19980123,sina_finance
SSE,19980210,1,19980209,sina_finance
SSE,19980211,1,19980210,sina_finance
SSE,19980212,1,19980211,sina_finance
SSE,19980213,1,19980212,sina_finance
SSE,19980216,1,19980213,sina_finance
SSE,19980217,1,19980216,sina_finance
SSE,19980218,1,19980217,sina_finance
SSE,19980219,1,19980218,sina_finance
SSE,19980220,1,19980219,sina_finance
SSE,19980223,1,19980220,sina_finance
SSE,19980224,1,19980223,sina_finance
SSE,19980225,1,19980224,sina_finance
SSE,19980226,1,19980225,sina_finance
SSE,19980227,1,19980226,sina_finance
SSE,19980302,1,19980227,sina_finance
SSE,19980303,1,19980302,sina_finance
SSE,19980304,1,19980303,sina_finance
SSE,19980305,1,19980304,sina_finance
SSE,19980306,1,19980305,sina_finance
SSE,19980309,1,19980306,sina_finance
SSE,19980310,1,19980309,sina_finance
SSE,19980311,1,19980310,sina_finance
SSE,19980312,1,19980311,sina_finance
SSE,19980313,1,19980312,sina_finance
SSE,19980316,1,19980313,sina_finance
SSE,19980317,1,19980316,sina_finance
SSE,19980318,1,19980317,sina_finance
SSE,19980319,1,19980318,sina_finance
SSE,19980320,1,19980319,sina_finance
SSE,19980323,1,19980320,sina_finance
SSE,19980324,1,19980323,sina_finance
SSE,19980325,1,19980324,sina_finance
SSE,19980326,1,19980325,sina_finance
SSE,19980327,1,19980326,sina_finance
SSE,19980330,1,19980327,sina_finance
SSE,19980331,1,19980330,sina_finance
SSE,19980401,1,19980331,sina_finance
SSE,19980402,1,19980401,sina_finance
SSE,19980403,1,19980402,sina_finance
SSE,19980406,1,19980403,sina_finance
SSE,19980407,1,19980406,sina_finance
SSE,19980408,1,19980407,sina_finance
SSE,19980409,1,19980408,sina_finance
SSE,19980410,1,19980409,sina_finance
SSE,19980413,1,19980410,sina_finance
SSE,19980414,1,19980413,sina_finance
SSE,19980415,1,19980414,sina_finance
SSE,19980416,1,19980415,sina_finance
SSE,19980417,1,19980416,sina_finance
SSE,19980420,1,19980417,sina_finance
SSE,19980421,1,19980420,sina_finance
SSE,19980422,1,19980421,sina_finance
SSE,19980423,1,19980422,sina_finance
SSE,19980424,1,19980423,sina_finance
SSE,19980427,1,19980424,sina_finance
SSE,19980428,1,19980427,sina_finance
SSE,19980429,1,19980428,sina_finance
SSE,19980430,1,19980429,sina_finance
SSE,19980504,1,19980430,sina_finance
SSE,19980505,1,19980504,sina_finance
SSE,19980506,1,19980505,sina_finance
SSE,19980507,1,19980506,sina_finance
SSE,19980508,1,19980507,sina_finance
SSE,19980511,1,19980508,sina_finance
SSE,19980512,1,19980511,sina_finance
SSE,19980513,1,19980512,sina_finance
SSE,19980514,1,19980513,sina_finance
SSE,19980515,1,19980514,sina_finance
SSE,19980518,1,19980515,sina_finance
SSE,19980519,1,19980518,sina_finance
SSE,19980520,1,19980519,sina_finance
SSE,19980521,1,19980520,sina_finance
SSE,19980522,1,19980521,sina_finance
SSE,19980525,1,19980522,sina_finance
SSE,19980526,1,19980525,sina_finance
SSE,19980527,1,19980526,sina_finance
SSE,19980528,1,19980527,sina_finance
SSE,19980529,1,19980528,sina_finance
SSE,19980601,1,19980529,sina_finance
SSE,19980602,1,19980601,sina_finance
SSE,19980603,1,19980602,sina_finance
SSE,19980604,1,19980603,sina_finance
SSE,19980605,1,19980604,sina_finance
SSE,19980608,1,19980605,sina_finance
SSE,19980609,1,19980608,sina_finance
SSE,19980610,1,19980609,sina_finance
SSE,19980611,1,19980610,sina_finance
SSE,19980612,1,19980611,sina_finance
SSE,19980615,1,19980612,sina_finance
SSE,19980616,1,19980615,sina_finance
SSE,19980617,1,19980616,sina_finance
SSE,19980618,1,19980617,sina_finance
SSE,19980619,1,19980618,sina_finance
SSE,19980622,1,19980619,sina_finance
SSE,19980623,1,19980622,sina_finance
SSE,19980624,1,19980623,sina_finance
SSE,19980625,1,19980624,sina_finance
SSE,19980626,1,19980625,sina_finance
SSE,19980629,1,19980626,sina_finance
SSE,19980630,1,19980629,sina_finance
SSE,19980701,1,19980630,sina_finance
SSE,19980702,1,19980701,sina_finance
SSE,19980703,1,19980702,sina_finance
SSE,19980706,1,19980703,sina_finance
SSE,19980707,1,19980706,sina_finance
SSE,19980708,1,19980707,sina_finance
